TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TIPO_OBRA_VIVIENDAS#es,TIPO_OBRA_VIVIENDAS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Teguise,35024,2018,2018,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Teguise,35024,2019,2019,Demolición,DEMOLICION,Viviendas,VIVIENDAS,3,,,,
Teguise,35024,2012,2012,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Teguise,35024,2013,2013,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,11,,,,
Teguise,35024,2014,2014,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,4,,,,
Teguise,35024,2015,2015,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Teguise,35024,2016,2016,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,3,,,,
Teguise,35024,2017,2017,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,2,,,,
Teguise,35024,2018,2018,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Teguise,35024,2019,2019,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,2,,,,
Teguise,35024,2012,2012,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,8,,,,
Teguise,35024,2013,2013,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,13,,,,
Teguise,35024,2014,2014,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,14,,,,
Teguise,35024,2015,2015,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,10,,,,
Teguise,35024,2016,2016,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,10,,,,
Teguise,35024,2017,2017,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,115,,,,
Teguise,35024,2018,2018,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,24,,,,
Teguise,35024,2019,2019,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,97,,,,
Teguise,35024,2012,2012,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,11,,,,
Teguise,35024,2013,2013,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,2,,,,
Teguise,35024,2014,2014,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,10,,,,
Teguise,35024,2015,2015,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,12,,,,
Teguise,35024,2016,2016,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,9,,,,
Teguise,35024,2017,2017,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,114,,,,
Teguise,35024,2018,2018,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,23,,,,
Teguise,35024,2019,2019,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,98,,,,
Tías,35028,2012,2012,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2013,2013,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2014,2014,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2015,2015,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2016,2016,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2017,2017,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
Tías,35028,2018,2018,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2019,2019,Demolición,DEMOLICION,Viviendas,VIVIENDAS,3,,,,
Tías,35028,2012,2012,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2013,2013,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2014,2014,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Tías,35028,2015,2015,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,3,,,,
Tías,35028,2016,2016,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Tías,35028,2017,2017,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,116,,,,
Tías,35028,2018,2018,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,118,,,,
Tías,35028,2019,2019,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,4,,,,
Tías,35028,2012,2012,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,5,,,,
Tías,35028,2013,2013,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,5,,,,
Tías,35028,2014,2014,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,9,,,,
Tías,35028,2015,2015,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,10,,,,
Tías,35028,2016,2016,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,12,,,,
Tías,35028,2017,2017,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,134,,,,
Tías,35028,2018,2018,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,145,,,,
Tías,35028,2019,2019,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,32,,,,
Tías,35028,2012,2012,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,5,,,,
Tías,35028,2013,2013,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,5,,,,
Tías,35028,2014,2014,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,8,,,,
Tías,35028,2015,2015,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,7,,,,
Tías,35028,2016,2016,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,12,,,,
Tías,35028,2017,2017,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,19,,,,
Tías,35028,2018,2018,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,27,,,,
Tías,35028,2019,2019,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,31,,,,
Tinajo,35029,2012,2012,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2013,2013,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2014,2014,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2015,2015,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2016,2016,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2017,2017,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2018,2018,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2019,2019,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2012,2012,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2013,2013,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Tinajo,35029,2014,2014,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2015,2015,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Tinajo,35029,2016,2016,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2017,2017,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2018,2018,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2019,2019,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,3,,,,
Tinajo,35029,2012,2012,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,13,,,,
Tinajo,35029,2013,2013,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,1,,,,
Tinajo,35029,2014,2014,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,8,,,,
Tinajo,35029,2015,2015,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,3,,,,
Tinajo,35029,2016,2016,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,4,,,,
Tinajo,35029,2017,2017,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2018,2018,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,14,,,,
Tinajo,35029,2019,2019,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,24,,,,
Tinajo,35029,2012,2012,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,13,,,,
Tinajo,35029,2013,2013,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2014,2014,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,8,,,,
Tinajo,35029,2015,2015,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,2,,,,
Tinajo,35029,2016,2016,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,4,,,,
Tinajo,35029,2017,2017,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,0,,,,
Tinajo,35029,2018,2018,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,14,,,,
Tinajo,35029,2019,2019,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,21,,,,
Yaiza,35034,2012,2012,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2013,2013,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2014,2014,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2015,2015,Demolición,DEMOLICION,Viviendas,VIVIENDAS,4,,,,
Yaiza,35034,2016,2016,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
Yaiza,35034,2017,2017,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2018,2018,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2019,2019,Demolición,DEMOLICION,Viviendas,VIVIENDAS,2,,,,
Yaiza,35034,2012,2012,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2013,2013,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2014,2014,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2015,2015,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2016,2016,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,2,,,,
Yaiza,35034,2017,2017,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,5,,,,
Yaiza,35034,2018,2018,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Yaiza,35034,2019,2019,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2012,2012,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2013,2013,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2014,2014,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2015,2015,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2016,2016,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,11,,,,
Yaiza,35034,2017,2017,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,24,,,,
Yaiza,35034,2018,2018,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,81,,,,
Yaiza,35034,2019,2019,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,192,,,,
Yaiza,35034,2012,2012,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2013,2013,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2014,2014,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,0,,,,
Yaiza,35034,2015,2015,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,4,,,,
Yaiza,35034,2016,2016,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,10,,,,
Yaiza,35034,2017,2017,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,19,,,,
Yaiza,35034,2018,2018,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,80,,,,
Yaiza,35034,2019,2019,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,194,,,,
Antigua,35003,2012,2012,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2013,2013,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2014,2014,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2015,2015,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2016,2016,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2017,2017,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2018,2018,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2019,2019,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2012,2012,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2013,2013,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2014,2014,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2015,2015,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2016,2016,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,9,,,,
Antigua,35003,2017,2017,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Antigua,35003,2018,2018,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2019,2019,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2012,2012,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2013,2013,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,2,,,,
Antigua,35003,2014,2014,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2015,2015,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,46,,,,
Antigua,35003,2016,2016,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,14,,,,
Antigua,35003,2017,2017,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,14,,,,
Antigua,35003,2018,2018,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,127,,,,
Antigua,35003,2019,2019,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,5,,,,
Antigua,35003,2012,2012,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,0,,,,
Antigua,35003,2013,2013,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,2,,,,
Antigua,35003,2014,2014,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,0,,,,
