codigo_municipio,anio,num_viviendas,num_empresas,isla,municipio,poblacion_total,edad_media,pct_extranjeros,pct_mayores_65,indice_dependencia,superficie_km2,poblacion_0_14,poblacion_15_64,poblacion_65_mas,poblacion_activa_total,asalariados_total,salario_medio_total,poblacion_activa_hombres,poblacion_activa_mujeres,asalariados_hombres,asalariados_mujeres
38014,2013,0.0,138.0,4,46,1800.0,46.9972,13.8889,24.0,52.027,5590.02,184.0,1184.0,432.0,893,622,81.31,471,422,325,297
38014,2014,2.0,136.0,4,46,1800.0,46.9972,13.8889,24.0,52.027,5590.02,184.0,1184.0,432.0,893,622,81.31,471,422,325,297
38014,2015,0.0,67.0,4,46,1800.0,46.9972,13.8889,24.0,52.027,5590.02,184.0,1184.0,432.0,893,622,81.31,471,422,325,297
38015,2012,10.0,309.0,6,47,4920.0,48.4154,6.4228,25.4472,55.7948,2743.2,510.0,3158.0,1252.0,2145,1493,83.73,1151,994,810,683
38015,2013,4.0,350.0,6,47,4920.0,48.4154,6.4228,25.4472,55.7948,2743.2,510.0,3158.0,1252.0,2145,1493,83.73,1151,994,810,683
38015,2014,4.0,353.0,6,47,4920.0,48.4154,6.4228,25.4472,55.7948,2743.2,510.0,3158.0,1252.0,2145,1493,83.73,1151,994,810,683
38015,2015,8.0,186.0,6,47,4920.0,48.4154,6.4228,25.4472,55.7948,2743.2,510.0,3158.0,1252.0,2145,1493,83.73,1151,994,810,683
38016,2012,2.0,100.0,4,48,1830.0,49.4377,27.6503,28.1421,59.965,10258.4,171.0,1144.0,515.0,679,414,78.03,368,311,216,198
38016,2013,2.0,100.0,4,48,1830.0,49.4377,27.6503,28.1421,59.965,10258.4,171.0,1144.0,515.0,679,414,78.03,368,311,216,198
38016,2014,0.0,102.0,4,48,1830.0,49.4377,27.6503,28.1421,59.965,10258.4,171.0,1144.0,515.0,679,414,78.03,368,311,216,198
38016,2015,12.0,52.0,4,48,1830.0,49.4377,27.6503,28.1421,59.965,10258.4,171.0,1144.0,515.0,679,414,78.03,368,311,216,198
38017,2012,36.0,4186.0,6,49,52447.0,39.9566,24.0338,11.5526,35.5605,16250.4,7699.0,38689.0,6059.0,29330,22478,86.75,14796,14535,11320,11158
38017,2013,2.0,4229.0,6,49,52447.0,39.9566,24.0338,11.5526,35.5605,16250.4,7699.0,38689.0,6059.0,29330,22478,86.75,14796,14535,11320,11158
38017,2014,6.0,4342.0,6,49,52447.0,39.9566,24.0338,11.5526,35.5605,16250.4,7699.0,38689.0,6059.0,29330,22478,86.75,14796,14535,11320,11158
38017,2015,208.0,2197.0,6,49,52447.0,39.9566,24.0338,11.5526,35.5605,16250.4,7699.0,38689.0,6059.0,29330,22478,86.75,14796,14535,11320,11158
38018,2012,100.0,361.0,6,50,5561.0,45.9494,4.9811,22.3701,53.1112,2380.47,685.0,3632.0,1244.0,2605,1826,84.12,1352,1254,981,845
38018,2013,0.0,386.0,6,50,5561.0,45.9494,4.9811,22.3701,53.1112,2380.47,685.0,3632.0,1244.0,2605,1826,84.12,1352,1254,981,845
38018,2014,2.0,394.0,6,50,5561.0,45.9494,4.9811,22.3701,53.1112,2380.47,685.0,3632.0,1244.0,2605,1826,84.12,1352,1254,981,845
38018,2015,0.0,196.0,6,50,5561.0,45.9494,4.9811,22.3701,53.1112,2380.47,685.0,3632.0,1244.0,2605,1826,84.12,1352,1254,981,845
38019,2012,14.0,1648.0,6,51,21711.0,42.1783,22.279,15.932,41.3477,14410.2,2892.0,15360.0,3459.0,10972,8514,86.21,5640,5332,4353,4161
38019,2013,22.0,1726.0,6,51,21711.0,42.1783,22.279,15.932,41.3477,14410.2,2892.0,15360.0,3459.0,10972,8514,86.21,5640,5332,4353,4161
38019,2014,6.0,1710.0,6,51,21711.0,42.1783,22.279,15.932,41.3477,14410.2,2892.0,15360.0,3459.0,10972,8514,86.21,5640,5332,4353,4161
38019,2015,10.0,885.0,6,51,21711.0,42.1783,22.279,15.932,41.3477,14410.2,2892.0,15360.0,3459.0,10972,8514,86.21,5640,5332,4353,4161
38020,2012,12.0,1517.0,6,52,21224.0,43.6064,6.9968,17.8571,44.9232,10288.8,2789.0,14645.0,3790.0,11071,8247,87.83,5600,5471,4196,4051
38020,2013,4.0,1558.0,6,52,21224.0,43.6064,6.9968,17.8571,44.9232,10288.8,2789.0,14645.0,3790.0,11071,8247,87.83,5600,5471,4196,4051
38020,2014,8.0,1615.0,6,52,21224.0,43.6064,6.9968,17.8571,44.9232,10288.8,2789.0,14645.0,3790.0,11071,8247,87.83,5600,5471,4196,4051
38020,2015,6.0,805.0,6,52,21224.0,43.6064,6.9968,17.8571,44.9232,10288.8,2789.0,14645.0,3790.0,11071,8247,87.83,5600,5471,4196,4051
38021,2012,4.0,125.0,3,53,1795.0,50.0933,8.0223,26.4624,50.2092,3915.87,125.0,1195.0,475.0,883,608,83.69,496,387,334,274
